time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,16,7,3,1
2026-06-01 00:00:00+00:00,8,3,2,2
2026-06-02 00:00:00+00:00,21,8,3,2
2026-06-03 00:00:00+00:00,10,5,3,2
2026-06-04 00:00:00+00:00,4,4,4,1
2026-06-05 00:00:00+00:00,5,5,4,1
2026-06-06 00:00:00+00:00,8,3,0,0
2026-06-07 00:00:00+00:00,25,7,0,0
2026-06-08 00:00:00+00:00,21,8,4,3
2026-06-09 00:00:00+00:00,17,6,12,5
2026-06-10 00:00:00+00:00,22,12,28,2
2026-06-11 00:00:00+00:00,24,10,4,3
2026-06-12 00:00:00+00:00,8,3,3,2
2026-06-13 00:00:00+00:00,22,7,1,1
